ชื่อ,วิทยาเขต,โดเมน
มหามกุฏราชวิทยาลัย,โศกราช,https://ssc.mbu.ac.th/
มหามกุฏราชวิทยาลัย,ในพระสังฆราชูปถัมภ์,https://www.mbu.ac.th/
มหามกุฏราชวิทยาลัย,ยโสธร,https://ybc.mbu.ac.th/
มหามกุฏราชวิทยาลัย,เฉลิมพระเกียรติกาฬสินธุ์,https://ksn.mbu.ac.th/
มหาวิทยาลัยมหิดล,หลัก,https://mahidol.ac.th/
มหาวิทยาลัยมหิดล,วิทยาเขตกาญจนบุรี,https://ka.mahidol.ac.th/th/
มหาวิทยาลัยมหิดล,นครสวรรค์,https://na.mahidol.ac.th/th/
มหาวิทยาลัยมหิดล,อำนาจเจริญ,https://am.mahidol.ac.th/
มหาวิทยาลัยแม่โจ้,หลัก,https://www.mju.ac.th/
มหาวิทยาลัยแม่โจ้,แพร่,http://www.phrae.mju.ac.th/
มหาวิทยาลัยแม่โจ้,ชุมพร,https://chumphon.mju.ac.th/
มหาวิทยาลัยแม่ฟ้าหลวง,หลัก,https://www.mfu.ac.th/
มหาวิทยาลัยวลัยลักษณ์,หลัก,https://www.wu.ac.th/
มหาวิทยาลัยวลัยลักษณ์,ดุสิต,https://dentistry.wu.ac.th/index_en/
มหาวิทยาลัยศรีนครินทรวิโรฒ,หลัก,https://www.swu.ac.th/
มหาวิทยาลัยศิลปากร,หลัก,https://www.su.ac.th/
มหาวิทยาลัยศิลปากร,เพชรบุรี,https://pitc.su.ac.th/
มหาวิทยาลัยสงขลานครินทร์,หลัก,https://www.psu.ac.th/welcome/
มหาวิทยาลัยสวนดุสิต,หลัก,https://www.dusit.ac.th/
มหาวิทยาลัยสวนดุสิต,สุพรรณบุรี,https://suphanburicampus.dusit.ac.th/
สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,หลัก,https://stin.ac.th/
สถาบันเทคโนโลยีจิตรลดา,หลัก,https://www.cdti.ac.th/
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,หลัก,https://www.kmitl.ac.th/
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,ชุมพร,https://www.kmitl-chumphon.kmitl.ac.th/
สถาบันบัณฑิตพัฒนบริหารศาสตร์,หลัก,https://nida.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,หลัก,https://www.rmutk.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,หลัก,https://www.rmutt.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,หลัก,https://www.rmutp.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,หลัก,https://www.mutr.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,หลัก,https://www.rmutl.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วิทยาลัยเพาะช่าง,https://pohchang.rmutr.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วังไกลกังวล,https://kkwcampus.rmutr.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,หลัก,https://www.rmutl.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,น่าน,https://nan.rmutl.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,ลำปาง,https://lpc.rmutl.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,ตาก,https://tak.rmutl.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,หลัก,https://www.rmutsv.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,นครศรีธรรมราช,https://nakhon.rmutsv.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,หลัก,https://rmutsb.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,หลัก,https://rmuti.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,ขอนแก่น,https://www.kkc.rmuti.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,สกนคร,https://www.skc.rmuti.ac.th/
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,สุริน,https://www.surin.rmuti.ac.th/
มหาวิทยาลัยรามคำแหง,หลัก,https://www.ru.ac.th/th/
มหาวิทยาลัยรามคำแหง,บางนา,http://www.bangna.ru.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,หลัก,https://www.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,นนทบุรี,https://nonthaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,ลำปาง,https://lampang.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,สุโขทัย,https://sukhothai.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,นครสวรรค์,https://nakhonsawan.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,อุดรธานี,https://udon.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช, อุบลราชธานี,https://ubon.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช, นครนายก,https://nakhonnayok.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,เพชรบุรี,https://phetchaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,จันทบุรี,https://chanthaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,นครศรีธรรมราช,https://nakhon.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,ยะลา,https://yala.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,กาญจนบุรี,https://kanchanaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,หลัก,https://www.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,นนทบุรี,https://nonthaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,ลำปาง,https://lampang.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,สุโขทัย,https://sukhothai.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,นครสวรรค์,https://nakhonsawan.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,อุดรธานี,https://udon.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช, อุบลราชธานี,https://ubon.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช, นครนายก,https://nakhonnayok.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,เพชรบุรี,https://phetchaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,จันทบุรี,https://chanthaburi.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,นครศรีธรรมราช,https://nakhon.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,ยะลา,https://yala.stou.ac.th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,กาญจนบุรี,https://kanchanaburi.stou.ac.th/
มหาวิทยาลัยกาฬสินธุ์,หลัก,https://ksu.ac.th/
มหาวิทยาลัยนราธิวาสราชนครินทร์,หลัก,https://www.pnu.ac.th/
มหาวิทยาลัยนครพนม,หลัก,https://www.npu.ac.th/
มหาวิทยาลัยนครพนม,ดิจิทัล,https://dc.npu.ac.th/
มหาวิทยาลัยนครพนม,ธาตุพนม,http://tp.npu.ac.th/
มหาวิทยาลัยนครพนม,นาหว้า,https://nawa.npu.ac.th/
มหาวิทยาลัยนครพนม,ศรีสงคราม,https://sitc.npu.ac.th/
มหาวิทยาลัยนเรศวร,หลัก,https://www.nu.ac.th/
มหาวิทยาลัยมหาสารคาม,หลัก,https://www.msu.ac.th/
มหาวิทยาลัยราชภัฏอุบลราชธานี,หลัก,https://www.ubru.ac.th/
มหาวิทยาลัยเทคโนโลยีปทุมวัน,หลัก,https://www.pit.ac.th/
สถาบันวิทยาลัยชุมชน,หลััก,https://www.iccs.ac.th/
